50,1326.750000
225,9113.500000
400,18505.250000
575,32468.250000
750,49894.000000
925,69010.500000
1100,97413.750000
1275,129662.000000
1450,167606.000000
1625,211288.500000
1800,260758.500000
1975,318706.500000
2150,381971.750000
2325,455008.000000
2500,530664.000000
2675,614891.250000
2850,709840.500000
3025,806127.500000
3200,914161.000000
3375,1022351.250000
3550,1139022.250000
3725,1261744.250000
3900,1385499.250000
4075,1521820.250000
4250,1664209.500000
4425,1811982.250000
4600,1967858.000000
4775,2125891.500000
4950,2301817.000000
