50,5034.750000
225,19590.000000
400,27014.500000
575,36075.750000
750,52451.000000
925,68971.250000
1100,98270.500000
1275,131669.750000
1450,168402.500000
1625,214833.750000
1800,271302.250000
1975,322795.500000
2150,386044.750000
2325,459726.250000
2500,540118.000000
2675,622187.750000
2850,715771.000000
3025,824199.500000
3200,927899.750000
3375,1039278.500000
3550,1161142.000000
3725,1281627.000000
3900,1413830.750000
4075,1546641.000000
4250,1696534.750000
4425,1859342.500000
4600,1996082.250000
4775,2168410.750000
4950,2341568.000000
