100,15597.000000
900,43526.666667
1700,81113.666667
2500,167648.666667
3300,306824.000000
4100,489837.333333
4900,706637.666667
5700,979864.000000
6500,1324626.000000
7300,1647188.000000
8100,2009896.333333
8900,2570434.000000
9700,3401535.000000
10500,3550064.666667
11300,3990053.666667
12100,4646293.666667
12900,5239462.000000
13700,5923858.000000
14500,7152132.000000
15300,7388843.333333
16100,8199036.000000
16900,9255301.000000
17700,10344220.000000
18500,11231628.333333
19300,12139721.666667
