100,2680.666667
900,30667.333333
1700,86209.333333
2500,191361.666667
3300,362000.666667
4100,570559.333333
4900,823274.333333
5700,1124758.000000
6500,1523090.666667
7300,1986028.000000
8100,2375443.666667
8900,2801840.000000
9700,3337114.666667
10500,3865030.333333
11300,4684521.666667
12100,5240297.000000
12900,5956963.000000
13700,6620902.666667
14500,7559504.666667
15300,8121165.000000
16100,9021831.666667
16900,9893627.666667
17700,10798846.666667
18500,11913643.000000
19300,12848546.333333
